ticket_text,category,priority
I cancelled my subscription but still got charged.,Billing & Payment,Low
I am considering cancelling my subscription due to poor service.,Complaint,Low
I need to change the timezone settings on my account.,Account Management,Medium
How do I configure email notifications?,General Support,Low
I want to delete my account and all associated data.,Account Management,Low
URGENT: I am extremely frustrated with the lack of communication.,Complaint,High
Can I get a receipt for my payment made last week?,Billing & Payment,Low
I need a demo of the advanced analytics features.,General Support,Low
My application keeps crashing every time I open it.,Technical Issue,High
What are the system requirements to run your software?,General Support,Low
Critical issue: Can you add an undo button for accidental deletions?,Feature Request,High
I need help setting up my first project.,General Support,Low
What are the system requirements to run your software?,General Support,Low
I would love a mobile app for Android tablets.,Feature Request,Low
Screen freezes when I try to upload documents.,Technical Issue,Low
I forgot my password and cannot reset it via email.,Account Management,Low
Your customer support response time is unacceptably slow.,Complaint,Medium
I'm getting a 500 internal server error on the login page.,Technical Issue,High
My issue was closed without being resolved.,Complaint,Medium
What file formats are supported for data import?,Product Inquiry,Low
I want to delete my account and all associated data.,Account Management,Low
My account shows past due even though I paid.,Billing & Payment,Low
Please add the ability to bulk export data to Excel.,Feature Request,Low
Does the tool support multiple languages?,Product Inquiry,Low
What file formats are supported for data import?,Product Inquiry,Low
I'd like to see a Gantt chart view for project timelines.,Feature Request,Low
Critical issue: Screen freezes when I try to upload documents.,Technical Issue,High
Critical issue: Please allow us to schedule automated reports via email.,Feature Request,High
The system is down and I cannot access my account.,Technical Issue,High
Please help ASAP: My issue was closed without being resolved.,Complaint,High
Can you walk me through how to generate my first report?,General Support,Low
How do I change my username?,Account Management,Medium
Does the mobile app work offline?,Product Inquiry,Low
Critical issue: How do I change my username?,Account Management,High
How many API calls are allowed per month?,Product Inquiry,Low
URGENT: Please add a read receipt feature for messages.,Feature Request,High
I need a demo of the advanced analytics features.,General Support,Low
How many API calls are allowed per month?,Product Inquiry,Low
How do I enable two-factor authentication on my account?,Account Management,Low
Your software is full of bugs and I am very disappointed.,Complaint,Medium
Can you explain what the usage limits mean?,General Support,Low
This is unacceptable — I need escalation to a manager.,Complaint,Low
I was transferred between agents four times with no help.,Complaint,Low
Is the software HIPAA compliant for healthcare use?,Product Inquiry,Low
How do I invite team members to my workspace?,General Support,Low
URGENT: How to revoke access for a former employee?,Account Management,High
I was transferred between agents four times with no help.,Complaint,Low
